Wall time,Step,Value
1713860039.953576,1853172,9.930063247680664
1713860039.953867,1853178,9.780394554138184
1713860039.954139,1853211,8.708253860473633
1713860039.954447,1853223,9.655677795410156
1713860039.95475,1853229,9.930464744567871
1713860039.955034,1853241,9.971400260925293
1713860039.955306,1853247,7.017424583435059
1713860039.955604,1853256,9.822383880615234
1713860039.955885,1853262,10.0
1713860039.956158,1853289,9.773752212524414
1713860039.956433,1853295,9.822091102600098
1713860039.956733,1853301,9.976310729980469
1713860039.957016,1853313,7.334031581878662
1713860039.957293,1853322,9.870826721191406
1713860039.957574,1853346,-3.106240749359131
1713860039.957871,1853358,9.790541648864746
1713860039.958147,1853367,9.88843059539795
1713860039.958416,1853397,9.76441764831543
1713860039.958706,1853412,-4.258063793182373
1713860039.959001,1853418,10.0
1713860039.959296,1853448,7.808392524719238
1713860039.959572,1853451,8.479005813598633
1713860039.959867,1853451,-6.156227111816406
1713860039.960195,1853475,9.885492324829102
1713860039.960474,1853487,9.785187721252441
1713860039.960748,1853487,-6.471005439758301
1713860039.961037,1853523,9.80378532409668
1713860039.961366,1853526,9.695926666259766
1713860039.961642,1853544,9.59063720703125
1713860039.961916,1853571,9.66840648651123
1713860039.962212,1853580,9.676535606384277
1713860039.962534,1853604,8.016790390014648
1713860039.96281,1853610,9.728409767150879
1713860039.963102,1853616,9.993612289428711
1713860039.96342,1853637,8.749682426452637
1713860039.963711,1853640,9.791739463806152
1713860039.963988,1853664,9.636063575744629
1713860039.964286,1853676,9.964082717895508
1713860039.964617,1853682,9.816776275634766
1713860039.964896,1853691,9.641422271728516
1713860039.965168,1853700,9.916543960571289
1713860039.965501,1853709,9.894978523254395
1713860039.965833,1853724,9.90712833404541
1713860039.966113,1853727,9.937599182128906
1713860039.966388,1853742,9.954660415649414
1713860039.966731,1853742,8.440339088439941
1713860039.96702,1853745,9.915042877197266
1713860039.967297,1853748,10.0
1713860039.967584,1853760,9.97507381439209
1713860039.967915,1853790,9.702902793884277
1713860039.968203,1853802,8.761711120605469
1713860039.968479,1853808,8.797470092773438
1713860039.968754,1853808,-2.0057144165039062
1713860039.969093,1853826,9.932374954223633
1713860039.969366,1853832,9.761266708374023
1713860039.969649,1853847,9.924429893493652
